k, f, h2OmegaGW
2.008520911712274994e+02 1.679118548883835188e-02 0.000000000000000000e+00
2.015375931888669356e+02 1.684849328914073824e-02 0.000000000000000000e+00
2.022230952065063718e+02 1.690580108944311766e-02 0.000000000000000000e+00
2.029085972241458364e+02 1.696310888974550402e-02 0.000000000000000000e+00
2.035940992417852726e+02 1.702041669004788690e-02 0.000000000000000000e+00
2.042796012594247088e+02 1.707772449035026979e-02 0.000000000000000000e+00
2.049651032770641734e+02 1.713503229065265615e-02 0.000000000000000000e+00
2.056506052947036096e+02 1.719234009095503557e-02 0.000000000000000000e+00
2.063361073123430458e+02 1.724964789125742540e-02 0.000000000000000000e+00
2.070216093299825104e+02 1.730695569155980829e-02 0.000000000000000000e+00
2.077071113476219466e+02 1.736426349186219117e-02 0.000000000000000000e+00
2.083926133652613828e+02 1.742157129216457406e-02 0.000000000000000000e+00
2.090781153829008474e+02 1.747887909246696042e-02 0.000000000000000000e+00
2.097636174005402836e+02 1.753618689276933984e-02 0.000000000000000000e+00
2.104491194181797198e+02 1.759349469307172620e-02 0.000000000000000000e+00
2.111346214358191560e+02 1.765080249337410562e-02 0.000000000000000000e+00
2.118201234534586206e+02 1.770811029367648851e-02 0.000000000000000000e+00
2.125056254710980568e+02 1.776541809397887486e-02 0.000000000000000000e+00
2.131911274887374930e+02 1.782272589428125775e-02 0.000000000000000000e+00
2.138766295063769576e+02 1.788003369458364411e-02 0.000000000000000000e+00
2.145621315240163938e+02 1.793734149488602700e-02 0.000000000000000000e+00
2.152476335416558300e+02 1.799464929518840642e-02 0.000000000000000000e+00
2.159331355592952946e+02 1.805195709549079625e-02 0.000000000000000000e+00
2.166186375769347308e+02 1.810926489579317913e-02 0.000000000000000000e+00
2.173041395945741669e+02 1.816657269609555508e-02 0.000000000000000000e+00
2.179896416122136316e+02 1.822388049639794491e-02 0.000000000000000000e+00
2.186751436298530678e+02 1.828118829670032433e-02 0.000000000000000000e+00
2.193606456474925039e+02 1.833849609700271416e-02 0.000000000000000000e+00
2.200461476651319686e+02 1.839580389730509358e-02 0.000000000000000000e+00
2.207316496827714047e+02 1.845311169760747994e-02 0.000000000000000000e+00
2.214171517004108409e+02 1.851041949790986629e-02 0.000000000000000000e+00
2.221026537180503055e+02 1.856772729821224918e-02 0.000000000000000000e+00
2.227881557356897417e+02 1.862503509851462860e-02 0.000000000000000000e+00
2.234736577533291779e+02 1.868234289881701149e-02 0.000000000000000000e+00
2.241591597709686141e+02 1.873965069911939438e-02 0.000000000000000000e+00
2.248446617886080787e+02 1.879695849942177727e-02 0.000000000000000000e+00
2.255301638062475149e+02 1.885426629972416362e-02 0.000000000000000000e+00
2.262156658238869511e+02 1.891157410002654651e-02 0.000000000000000000e+00
2.269011678415264157e+02 1.896888190032893287e-02 0.000000000000000000e+00
2.275866698591658519e+02 1.902618970063131576e-02 0.000000000000000000e+00
2.282721718768052881e+02 1.908349750093369865e-02 0.000000000000000000e+00
2.289576738944447527e+02 1.914080530123608848e-02 0.000000000000000000e+00
2.296431759120841889e+02 1.919811310153846790e-02 0.000000000000000000e+00
2.303286779297236251e+02 1.925542090184085078e-02 0.000000000000000000e+00
2.310141799473630897e+02 1.931272870214323714e-02 0.000000000000000000e+00
2.316996819650025259e+02 1.937003650244561656e-02 0.000000000000000000e+00
2.323851839826419621e+02 1.942734430274800292e-02 0.000000000000000000e+00
2.330706860002814267e+02 1.948465210305038928e-02 0.000000000000000000e+00
2.337561880179208629e+02 1.954195990335276523e-02 0.000000000000000000e+00
2.344416900355602991e+02 1.959926770365515158e-02 0.000000000000000000e+00
2.351271920531997637e+02 1.965657550395753794e-02 0.000000000000000000e+00
2.358126940708391999e+02 1.971388330425992083e-02 0.000000000000000000e+00
2.364981960884786361e+02 1.977119110456230719e-02 0.000000000000000000e+00
2.371836981061180722e+02 1.982849890486468314e-02 0.000000000000000000e+00
2.378692001237575369e+02 1.988580670516707297e-02 0.000000000000000000e+00
